prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,195,0.76171875,84.52,0.7916666666666666,2.994791666666663
4/5+3/5,add,7/5,256,185,0.72265625,59.65,0.75,2.734375
3/5+1/4,add,17/20,256,162,0.6328125,85.07,0.5166666666666667,11.614583333333329
2/3+3/5,add,19/15,256,136,0.53125,83.57,0.5083333333333333,2.2916666666666696
3/5-1/5,sub,2/5,256,241,0.94140625,63.78,0.8333333333333334,10.807291666666663
4/5-3/5,sub,1/5,256,244,0.953125,53.35,0.8416666666666667,11.145833333333332
3/5-1/4,sub,7/20,256,153,0.59765625,86.22,0.55,4.765624999999996
2/3-3/5,sub,1/15,256,161,0.62890625,75.88,0.6166666666666667,1.2239583333333304
3/5*1/5,mul,3/25,256,174,0.6796875,63.92,0.31666666666666665,36.302083333333336
4/5*3/5,mul,12/25,256,168,0.65625,82.36,0.4166666666666667,23.958333333333332
3/5*1/4,mul,3/20,256,239,0.93359375,44.96,0.5583333333333333,37.526041666666664
2/3*3/5,mul,2/5,256,246,0.9609375,77.91,0.5916666666666667,36.927083333333336
3/5:1/5,div,3,256,110,0.4296875,85.46,0.35833333333333334,7.135416666666666
4/5:3/5,div,4/3,256,60,0.234375,86.04,0.2,3.437499999999999
3/5:1/4,div,12/5,256,40,0.15625,85.47,0.25,9.375
2/3:3/5,div,10/9,256,46,0.1796875,84.28,0.15,2.9687500000000004
