T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,143,0.55859375,23.12,0.7916666666666666,23.307291666666664
1.0,4/5+3/5,add,7/5,256,156,0.609375,23.09,0.75,14.0625
1.0,3/5+1/4,add,17/20,256,97,0.37890625,23.09,0.5166666666666667,13.776041666666671
1.0,2/3+3/5,add,19/15,256,95,0.37109375,23.1,0.5083333333333333,13.72395833333333
1.0,3/5-1/5,sub,2/5,256,194,0.7578125,23.1,0.8333333333333334,7.5520833333333375
1.0,4/5-3/5,sub,1/5,256,183,0.71484375,22.91,0.8416666666666667,12.682291666666668
1.0,3/5-1/4,sub,7/20,256,104,0.40625,23.15,0.55,14.375000000000004
1.0,2/3-3/5,sub,1/15,256,106,0.4140625,23.12,0.6166666666666667,20.26041666666667
1.0,3/5*1/5,mul,3/25,256,77,0.30078125,21.28,0.31666666666666665,1.5885416666666652
1.0,4/5*3/5,mul,12/25,256,139,0.54296875,23.09,0.4166666666666667,12.630208333333332
1.0,3/5*1/4,mul,3/20,256,146,0.5703125,21.77,0.5583333333333333,1.1979166666666652
1.0,2/3*3/5,mul,2/5,256,119,0.46484375,22.87,0.5916666666666667,12.682291666666668
1.0,3/5:1/5,div,3,256,70,0.2734375,23.04,0.35833333333333334,8.489583333333334
1.0,4/5:3/5,div,4/3,256,35,0.13671875,23.07,0.2,6.328125000000001
1.0,3/5:1/4,div,12/5,256,49,0.19140625,23.0,0.25,5.859375
1.0,2/3:3/5,div,10/9,256,23,0.08984375,23.1,0.15,6.015624999999999
