prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,204,0.796875,102.33,0.7916666666666666,0.520833333333337
4/5+3/5,add,7/5,256,183,0.71484375,91.92,0.75,3.515625
3/5+1/4,add,17/20,256,164,0.640625,83.0,0.5166666666666667,12.395833333333329
2/3+3/5,add,19/15,256,126,0.4921875,99.7,0.5083333333333333,1.6145833333333304
3/5-1/5,sub,2/5,256,185,0.72265625,84.93,0.8333333333333334,11.067708333333337
4/5-3/5,sub,1/5,256,187,0.73046875,88.0,0.8416666666666667,11.119791666666668
3/5-1/4,sub,7/20,256,143,0.55859375,101.55,0.55,0.8593749999999956
2/3-3/5,sub,1/15,256,105,0.41015625,96.0,0.6166666666666667,20.65104166666667
3/5*1/5,mul,3/25,256,70,0.2734375,84.6,0.31666666666666665,4.322916666666665
4/5*3/5,mul,12/25,256,86,0.3359375,81.71,0.4166666666666667,8.072916666666668
3/5*1/4,mul,3/20,256,146,0.5703125,82.15,0.5583333333333333,1.1979166666666652
2/3*3/5,mul,2/5,256,104,0.40625,95.29,0.5916666666666667,18.541666666666668
3/5:1/5,div,3,256,99,0.38671875,82.39,0.35833333333333334,2.838541666666666
4/5:3/5,div,4/3,256,40,0.15625,72.81,0.2,4.375000000000001
3/5:1/4,div,12/5,256,27,0.10546875,90.7,0.25,14.453125
2/3:3/5,div,10/9,256,25,0.09765625,92.09,0.15,5.234374999999999
