problem_id,answer_text,n,proportion
88,0.344,133,0.39820359281437123
88,.3440,33,0.09880239520958084
88,0.3440,32,0.09580838323353294
88,.344,20,0.059880239520958084
88,0.334,15,0.04491017964071856
88,3.440,10,0.029940119760479042
88,3.44,4,0.011976047904191617
88,344,3,0.008982035928143712
88,.334,2,0.005988023952095809
88,.3390,2,0.005988023952095809
88,0.1290,2,0.005988023952095809
88,0.2,2,0.005988023952095809
88,0.344000,2,0.005988023952095809
88,1.215,2,0.005988023952095809
88,1.385,2,0.005988023952095809
88,1.815,2,0.005988023952095809
88,3.4400,2,0.005988023952095809
88,3.44000,2,0.005988023952095809
88,34.40,2,0.005988023952095809
88,3440,2,0.005988023952095809
88,.0560,1,0.0029940119760479044
88,.1290,1,0.0029940119760479044
88,.2430,1,0.0029940119760479044
88,.3334,1,0.0029940119760479044
88,.3440000,1,0.0029940119760479044
88,.34700,1,0.0029940119760479044
88,.3540,1,0.0029940119760479044
88,.3840,1,0.0029940119760479044
88,.418,1,0.0029940119760479044
88,.46,1,0.0029940119760479044
88,.5060,1,0.0029940119760479044
88,0.0128,1,0.0029940119760479044
88,0.0344,1,0.0029940119760479044
88,0.03440,1,0.0029940119760479044
88,0.075,1,0.0029940119760479044
88,0.144,1,0.0029940119760479044
88,0.1505,1,0.0029940119760479044
88,0.24,1,0.0029940119760479044
88,0.244,1,0.0029940119760479044
88,0.324,1,0.0029940119760479044
88,0.3296,1,0.0029940119760479044
88,0.3340,1,0.0029940119760479044
88,0.3360,1,0.0029940119760479044
88,0.3380,1,0.0029940119760479044
88,0.3400,1,0.0029940119760479044
88,0.3444,1,0.0029940119760479044
88,0.3446,1,0.0029940119760479044
88,0.354,1,0.0029940119760479044
88,0.3740,1,0.0029940119760479044
88,0.4016,1,0.0029940119760479044
88,0.44,1,0.0029940119760479044
88,0.863,1,0.0029940119760479044
88,02.240,1,0.0029940119760479044
88,1.2,1,0.0029940119760479044
88,1.28,1,0.0029940119760479044
88,1.505,1,0.0029940119760479044
88,12.8,1,0.0029940119760479044
88,12.800,1,0.0029940119760479044
88,2.1440,1,0.0029940119760479044
88,2.200,1,0.0029940119760479044
88,2000,1,0.0029940119760479044
88,232.00,1,0.0029940119760479044
88,3.400,1,0.0029940119760479044
88,3.444,1,0.0029940119760479044
88,32.240,1,0.0029940119760479044
88,33.4000,1,0.0029940119760479044
88,34.4,1,0.0029940119760479044
88,34.4000,1,0.0029940119760479044
88,344.000,1,0.0029940119760479044
88,35.4000,1,0.0029940119760479044
88,37.4,1,0.0029940119760479044
88,37.40,1,0.0029940119760479044
88,4.016,1,0.0029940119760479044
88,4.085,1,0.0029940119760479044
88,46.2250,1,0.0029940119760479044
88,5.60,1,0.0029940119760479044
88,63.440,1,0.0029940119760479044
88,63.50,1,0.0029940119760479044
88,69.420,1,0.0029940119760479044
88,8/5,1,0.0029940119760479044
93,-0.5,51,0.5257731958762887
93,-.5,13,0.13402061855670103
93,0.5,6,0.061855670103092786
93,5.5,6,0.061855670103092786
93,.5,3,0.030927835051546393
93,-1.5,2,0.020618556701030927
93,-1/2,2,0.020618556701030927
93,2.5,2,0.020618556701030927
93,-.05,1,0.010309278350515464
93,1,1,0.010309278350515464
93,1.5,1,0.010309278350515464
93,1.6,1,0.010309278350515464
93,2,1,0.010309278350515464
93,28,1,0.010309278350515464
93,3.1,1,0.010309278350515464
93,3.5,1,0.010309278350515464
93,4.5,1,0.010309278350515464
93,5.2,1,0.010309278350515464
93,6.5,1,0.010309278350515464
93,7,1,0.010309278350515464
95,17160,34,0.723404255319149
95,"17,160",7,0.14893617021276595
95,12952,1,0.02127659574468085
95,15840,1,0.02127659574468085
95,17220,1,0.02127659574468085
