prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,108,0.421875,61.4,0.7916666666666666,36.979166666666664
4/5+3/5,add,7/5,256,69,0.26953125,59.01,0.75,48.046875
3/5+1/4,add,17/20,256,84,0.328125,58.93,0.5166666666666667,18.85416666666667
2/3+3/5,add,19/15,256,46,0.1796875,58.38,0.5083333333333333,32.86458333333333
3/5-1/5,sub,2/5,256,123,0.48046875,58.59,0.8333333333333334,35.286458333333336
4/5-3/5,sub,1/5,256,137,0.53515625,58.56,0.8416666666666667,30.651041666666668
3/5-1/4,sub,7/20,256,89,0.34765625,58.93,0.55,20.234375000000004
2/3-3/5,sub,1/15,256,72,0.28125,58.93,0.6166666666666667,33.54166666666667
3/5*1/5,mul,3/25,256,110,0.4296875,59.0,0.31666666666666665,11.302083333333336
4/5*3/5,mul,12/25,256,106,0.4140625,58.73,0.4166666666666667,0.2604166666666685
3/5*1/4,mul,3/20,256,118,0.4609375,58.35,0.5583333333333333,9.739583333333336
2/3*3/5,mul,2/5,256,95,0.37109375,58.69,0.5916666666666667,22.057291666666668
3/5:1/5,div,3,256,51,0.19921875,58.73,0.35833333333333334,15.911458333333334
4/5:3/5,div,4/3,256,45,0.17578125,58.74,0.2,2.421875000000001
3/5:1/4,div,12/5,256,43,0.16796875,58.97,0.25,8.203125
2/3:3/5,div,10/9,256,48,0.1875,58.88,0.15,3.7500000000000004
