prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,179,0.69921875,42.54,0.7916666666666666,9.244791666666663
4/5+3/5,add,7/5,256,144,0.5625,41.66,0.75,18.75
3/5+1/4,add,17/20,256,83,0.32421875,55.54,0.5166666666666667,19.24479166666667
2/3+3/5,add,19/15,256,71,0.27734375,56.16,0.5083333333333333,23.09895833333333
3/5-1/5,sub,2/5,256,188,0.734375,40.05,0.8333333333333334,9.895833333333337
4/5-3/5,sub,1/5,256,169,0.66015625,42.49,0.8416666666666667,18.151041666666668
3/5-1/4,sub,7/20,256,91,0.35546875,59.91,0.55,19.453125000000004
2/3-3/5,sub,1/15,256,102,0.3984375,62.67,0.6166666666666667,21.82291666666667
3/5*1/5,mul,3/25,256,116,0.453125,40.46,0.31666666666666665,13.645833333333336
4/5*3/5,mul,12/25,256,177,0.69140625,42.05,0.4166666666666667,27.473958333333332
3/5*1/4,mul,3/20,256,188,0.734375,39.97,0.5583333333333333,17.604166666666664
2/3*3/5,mul,2/5,256,174,0.6796875,43.61,0.5916666666666667,8.802083333333332
3/5:1/5,div,3,256,96,0.375,42.86,0.35833333333333334,1.6666666666666663
4/5:3/5,div,4/3,256,26,0.1015625,42.67,0.2,9.843750000000002
3/5:1/4,div,12/5,256,30,0.1171875,58.05,0.25,13.28125
2/3:3/5,div,10/9,256,26,0.1015625,63.04,0.15,4.843749999999999
