prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,122,0.4765625,58.17,0.7916666666666666,31.510416666666664
4/5+3/5,add,7/5,256,120,0.46875,46.68,0.75,28.125
3/5+1/4,add,17/20,256,100,0.390625,78.06,0.5166666666666667,12.604166666666671
2/3+3/5,add,19/15,256,95,0.37109375,75.88,0.5083333333333333,13.72395833333333
3/5-1/5,sub,2/5,256,166,0.6484375,55.95,0.8333333333333334,18.489583333333336
4/5-3/5,sub,1/5,256,155,0.60546875,46.21,0.8416666666666667,23.619791666666668
3/5-1/4,sub,7/20,256,85,0.33203125,67.94,0.55,21.796875000000004
2/3-3/5,sub,1/15,256,74,0.2890625,77.61,0.6166666666666667,32.76041666666667
3/5*1/5,mul,3/25,256,95,0.37109375,49.12,0.31666666666666665,5.442708333333335
4/5*3/5,mul,12/25,256,145,0.56640625,59.13,0.4166666666666667,14.973958333333332
3/5*1/4,mul,3/20,256,158,0.6171875,63.73,0.5583333333333333,5.885416666666665
2/3*3/5,mul,2/5,256,137,0.53515625,55.57,0.5916666666666667,5.651041666666668
3/5:1/5,div,3,256,97,0.37890625,50.02,0.35833333333333334,2.057291666666666
4/5:3/5,div,4/3,256,43,0.16796875,60.8,0.2,3.203125000000001
3/5:1/4,div,12/5,256,42,0.1640625,68.55,0.25,8.59375
2/3:3/5,div,10/9,256,31,0.12109375,77.77,0.15,2.8906249999999996
