prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,216,0.84375,100.6,0.7916666666666666,5.2083333333333375
4/5+3/5,add,7/5,256,228,0.890625,49.24,0.75,14.0625
3/5+1/4,add,17/20,256,242,0.9453125,101.4,0.5166666666666667,42.86458333333333
2/3+3/5,add,19/15,256,228,0.890625,107.57,0.5083333333333333,38.22916666666667
3/5-1/5,sub,2/5,256,256,1.0,38.65,0.8333333333333334,16.666666666666664
4/5-3/5,sub,1/5,256,256,1.0,38.57,0.8416666666666667,15.833333333333332
3/5-1/4,sub,7/20,256,231,0.90234375,113.91,0.55,35.23437499999999
2/3-3/5,sub,1/15,256,232,0.90625,95.61,0.6166666666666667,28.95833333333333
3/5*1/5,mul,3/25,256,136,0.53125,103.82,0.31666666666666665,21.458333333333336
4/5*3/5,mul,12/25,256,147,0.57421875,104.0,0.4166666666666667,15.755208333333332
3/5*1/4,mul,3/20,256,194,0.7578125,98.06,0.5583333333333333,19.947916666666664
2/3*3/5,mul,2/5,256,183,0.71484375,111.57,0.5916666666666667,12.317708333333332
3/5:1/5,div,3,256,86,0.3359375,105.05,0.35833333333333334,2.239583333333334
4/5:3/5,div,4/3,256,54,0.2109375,107.77,0.2,1.093749999999999
3/5:1/4,div,12/5,256,19,0.07421875,111.83,0.25,17.578125
2/3:3/5,div,10/9,256,38,0.1484375,104.65,0.15,0.15624999999999944
