prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,149,0.58203125,46.82,0.7916666666666666,20.963541666666664
4/5+3/5,add,7/5,256,131,0.51171875,41.63,0.75,23.828125
3/5+1/4,add,17/20,256,102,0.3984375,60.8,0.5166666666666667,11.822916666666671
2/3+3/5,add,19/15,256,69,0.26953125,58.06,0.5083333333333333,23.88020833333333
3/5-1/5,sub,2/5,256,199,0.77734375,41.37,0.8333333333333334,5.5989583333333375
4/5-3/5,sub,1/5,256,178,0.6953125,42.04,0.8416666666666667,14.635416666666668
3/5-1/4,sub,7/20,256,58,0.2265625,65.4,0.55,32.34375000000001
2/3-3/5,sub,1/15,256,63,0.24609375,65.12,0.6166666666666667,37.05729166666667
3/5*1/5,mul,3/25,256,134,0.5234375,48.36,0.31666666666666665,20.677083333333336
4/5*3/5,mul,12/25,256,204,0.796875,44.14,0.4166666666666667,38.02083333333333
3/5*1/4,mul,3/20,256,177,0.69140625,42.52,0.5583333333333333,13.307291666666664
2/3*3/5,mul,2/5,256,167,0.65234375,42.78,0.5916666666666667,6.067708333333332
3/5:1/5,div,3,256,91,0.35546875,48.94,0.35833333333333334,0.2864583333333337
4/5:3/5,div,4/3,256,19,0.07421875,48.72,0.2,12.578125000000002
3/5:1/4,div,12/5,256,18,0.0703125,61.81,0.25,17.96875
2/3:3/5,div,10/9,256,27,0.10546875,53.92,0.15,4.453124999999999
