T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,190,0.7421875,29.36,0.7916666666666666,4.9479166666666625
1.0,4/5+3/5,add,7/5,256,191,0.74609375,29.06,0.75,0.390625
1.0,3/5+1/4,add,17/20,256,179,0.69921875,29.19,0.5166666666666667,18.25520833333333
1.0,2/3+3/5,add,19/15,256,169,0.66015625,29.42,0.5083333333333333,15.18229166666667
1.0,3/5-1/5,sub,2/5,256,194,0.7578125,29.39,0.8333333333333334,7.5520833333333375
1.0,4/5-3/5,sub,1/5,256,181,0.70703125,29.45,0.8416666666666667,13.463541666666668
1.0,3/5-1/4,sub,7/20,256,170,0.6640625,29.43,0.55,11.406249999999996
1.0,2/3-3/5,sub,1/15,256,122,0.4765625,29.47,0.6166666666666667,14.01041666666667
1.0,3/5*1/5,mul,3/25,256,74,0.2890625,29.42,0.31666666666666665,2.760416666666665
1.0,4/5*3/5,mul,12/25,256,119,0.46484375,29.34,0.4166666666666667,4.817708333333331
1.0,3/5*1/4,mul,3/20,256,137,0.53515625,29.26,0.5583333333333333,2.317708333333335
1.0,2/3*3/5,mul,2/5,256,117,0.45703125,29.14,0.5916666666666667,13.463541666666668
1.0,3/5:1/5,div,3,256,84,0.328125,29.46,0.35833333333333334,3.020833333333334
1.0,4/5:3/5,div,4/3,256,44,0.171875,29.58,0.2,2.812500000000001
1.0,3/5:1/4,div,12/5,256,56,0.21875,29.56,0.25,3.125
1.0,2/3:3/5,div,10/9,256,26,0.1015625,29.54,0.15,4.843749999999999
