condition,model,method,temperature,operation,mean_accuracy,any_correct_accuracy
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,Add,80.475,100.0
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,Add,76.25,100.0
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,Add,73.075,100.0
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,Add,70.925,100.0
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,Add,69.325,100.0
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,Add,67.7,100.0
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,Add,64.925,100.0
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,Add,62.425,100.0
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,Add,59.650000000000006,100.0
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,Add,56.82499999999999,100.0
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,Div,29.425,75.0
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,Div,27.45,82.0
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,Div,26.200000000000003,85.0
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,Div,24.675,86.0
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,Div,24.450000000000003,87.0
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,Div,23.75,89.0
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,Div,22.85,91.0
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,Div,22.275,93.0
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,Div,21.725,96.0
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,Div,20.75,98.0
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,Mul,82.57499999999999,92.0
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,Mul,77.89999999999999,94.0
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,Mul,72.57500000000002,95.0
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,Mul,66.325,97.0
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,Mul,63.7,98.0
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,Mul,61.375,98.0
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,Mul,56.55,98.0
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,Mul,53.05000000000001,100.0
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,Mul,49.74999999999999,100.0
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,Mul,46.125,100.0
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,Sub,85.125,100.0
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,Sub,84.775,100.0
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,Sub,84.725,100.0
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,Sub,82.85,100.0
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,Sub,81.94999999999999,100.0
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,Sub,80.25,100.0
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,Sub,76.8,100.0
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,Sub,73.69999999999999,100.0
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,Sub,70.7,100.0
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,Sub,67.175,100.0
