condition,model,method,temperature,cell,qwen_mean_accuracy,qwen_any_correct_accuracy,parseable_coverage,n_rows
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,add ED,93.35,100.0,100.0,2000
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,add UD,67.60000000000001,100.0,100.0,2000
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,div ED,44.5,94.0,100.0,2000
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,div UD,14.35,56.00000000000001,100.0,2000
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,mul ED,85.7,96.0,100.0,2000
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,mul UD,79.45,88.0,100.0,2000
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,sub ED,100.0,100.0,100.0,2000
q3_0p6b_full_t03,Qwen3-0.6B E1,Full,0.3,sub UD,70.25,100.0,100.0,2000
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,add ED,85.35000000000001,100.0,100.0,2000
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,add UD,67.15,100.0,100.0,2000
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,div ED,37.0,100.0,100.0,2000
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,div UD,17.9,64.0,100.0,2000
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,mul ED,77.0,100.0,100.0,2000
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,mul UD,78.8,88.0,100.0,2000
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,sub ED,100.0,100.0,100.0,2000
q3_0p6b_full_t05,Qwen3-0.6B E1,Full,0.5,sub UD,69.55,100.0,100.0,2000
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,add ED,78.9,100.0,100.0,2000
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,add UD,67.25,100.0,100.0,2000
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,div ED,33.35,100.0,100.0,2000
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,div UD,19.05,70.0,100.0,2000
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,mul ED,69.6,100.0,100.0,2000
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,mul UD,75.55,90.0,100.0,2000
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,sub ED,99.1,100.0,100.0,2000
q3_0p6b_full_t07,Qwen3-0.6B E1,Full,0.7,sub UD,70.35,100.0,100.0,2000
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,add ED,74.6,100.0,100.0,2000
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,add UD,67.25,100.0,100.0,2000
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,div ED,30.45,100.0,100.0,2000
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,div UD,18.9,72.0,100.0,2000
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,mul ED,63.9,100.0,100.0,2000
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,mul UD,68.75,94.0,100.0,2000
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,sub ED,96.4,100.0,100.0,2000
