T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,69,0.26953125,17.16,0.7916666666666666,52.213541666666664
1.0,4/5+3/5,add,7/5,256,91,0.35546875,12.11,0.75,39.453125
1.0,3/5+1/4,add,17/20,256,26,0.1015625,12.12,0.5166666666666667,41.51041666666667
1.0,2/3+3/5,add,19/15,256,34,0.1328125,12.15,0.5083333333333333,37.55208333333333
1.0,3/5-1/5,sub,2/5,256,53,0.20703125,12.15,0.8333333333333334,62.630208333333336
1.0,4/5-3/5,sub,1/5,256,62,0.2421875,12.15,0.8416666666666667,59.947916666666664
1.0,3/5-1/4,sub,7/20,256,15,0.05859375,12.16,0.55,49.14062500000001
1.0,2/3-3/5,sub,1/15,256,28,0.109375,12.1,0.6166666666666667,50.72916666666667
1.0,3/5*1/5,mul,3/25,256,51,0.19921875,12.03,0.31666666666666665,11.744791666666664
1.0,4/5*3/5,mul,12/25,256,54,0.2109375,12.07,0.4166666666666667,20.572916666666668
1.0,3/5*1/4,mul,3/20,256,54,0.2109375,12.14,0.5583333333333333,34.739583333333336
1.0,2/3*3/5,mul,2/5,256,49,0.19140625,12.13,0.5916666666666667,40.026041666666664
1.0,3/5:1/5,div,3,256,22,0.0859375,12.13,0.35833333333333334,27.239583333333332
1.0,4/5:3/5,div,4/3,256,31,0.12109375,12.12,0.2,7.890625000000001
1.0,3/5:1/4,div,12/5,256,39,0.15234375,12.13,0.25,9.765625
1.0,2/3:3/5,div,10/9,256,30,0.1171875,12.15,0.15,3.2812499999999996
