T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,143,0.55859375,17.36,0.7916666666666666,23.307291666666664
1.0,4/5+3/5,add,7/5,256,97,0.37890625,13.65,0.75,37.109375
1.0,3/5+1/4,add,17/20,256,21,0.08203125,19.81,0.5166666666666667,43.46354166666667
1.0,2/3+3/5,add,19/15,256,5,0.01953125,18.05,0.5083333333333333,48.88020833333333
1.0,3/5-1/5,sub,2/5,256,188,0.734375,18.86,0.8333333333333334,9.895833333333337
1.0,4/5-3/5,sub,1/5,256,181,0.70703125,14.29,0.8416666666666667,13.463541666666668
1.0,3/5-1/4,sub,7/20,256,42,0.1640625,20.99,0.55,38.59375000000001
1.0,2/3-3/5,sub,1/15,256,64,0.25,19.05,0.6166666666666667,36.66666666666667
1.0,3/5*1/5,mul,3/25,256,71,0.27734375,13.65,0.31666666666666665,3.932291666666665
1.0,4/5*3/5,mul,12/25,256,130,0.5078125,12.16,0.4166666666666667,9.114583333333332
1.0,3/5*1/4,mul,3/20,256,130,0.5078125,16.25,0.5583333333333333,5.052083333333335
1.0,2/3*3/5,mul,2/5,256,94,0.3671875,15.94,0.5916666666666667,22.447916666666668
1.0,3/5:1/5,div,3,256,66,0.2578125,19.2,0.35833333333333334,10.052083333333334
1.0,4/5:3/5,div,4/3,256,33,0.12890625,14.05,0.2,7.109375000000001
1.0,3/5:1/4,div,12/5,256,19,0.07421875,21.45,0.25,17.578125
1.0,2/3:3/5,div,10/9,256,17,0.06640625,17.95,0.15,8.359375
