T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,121,0.47265625,14.33,0.7916666666666666,31.901041666666664
1.0,4/5+3/5,add,7/5,256,65,0.25390625,14.13,0.75,49.609375
1.0,3/5+1/4,add,17/20,256,19,0.07421875,19.39,0.5166666666666667,44.24479166666667
1.0,2/3+3/5,add,19/15,256,8,0.03125,19.46,0.5083333333333333,47.70833333333333
1.0,3/5-1/5,sub,2/5,256,173,0.67578125,15.38,0.8333333333333334,15.755208333333337
1.0,4/5-3/5,sub,1/5,256,189,0.73828125,12.89,0.8416666666666667,10.338541666666668
1.0,3/5-1/4,sub,7/20,256,40,0.15625,20.17,0.55,39.37500000000001
1.0,2/3-3/5,sub,1/15,256,85,0.33203125,21.48,0.6166666666666667,28.46354166666667
1.0,3/5*1/5,mul,3/25,256,81,0.31640625,18.44,0.31666666666666665,0.026041666666665186
1.0,4/5*3/5,mul,12/25,256,137,0.53515625,15.9,0.4166666666666667,11.848958333333332
1.0,3/5*1/4,mul,3/20,256,142,0.5546875,13.91,0.5583333333333333,0.3645833333333348
1.0,2/3*3/5,mul,2/5,256,110,0.4296875,16.89,0.5916666666666667,16.197916666666668
1.0,3/5:1/5,div,3,256,68,0.265625,12.97,0.35833333333333334,9.270833333333334
1.0,4/5:3/5,div,4/3,256,32,0.125,15.56,0.2,7.500000000000001
1.0,3/5:1/4,div,12/5,256,21,0.08203125,17.45,0.25,16.796875
1.0,2/3:3/5,div,10/9,256,16,0.0625,17.99,0.15,8.75
