T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.0,3/5+1/5,add,4/5,256,163,0.63671875,23.18,0.7916666666666666,15.494791666666663
1.0,4/5+3/5,add,7/5,256,144,0.5625,23.18,0.75,18.75
1.0,3/5+1/4,add,17/20,256,53,0.20703125,23.18,0.5166666666666667,30.96354166666667
1.0,2/3+3/5,add,19/15,256,33,0.12890625,23.2,0.5083333333333333,37.94270833333333
1.0,3/5-1/5,sub,2/5,256,171,0.66796875,23.14,0.8333333333333334,16.536458333333336
1.0,4/5-3/5,sub,1/5,256,115,0.44921875,23.14,0.8416666666666667,39.244791666666664
1.0,3/5-1/4,sub,7/20,256,57,0.22265625,23.13,0.55,32.73437500000001
1.0,2/3-3/5,sub,1/15,256,75,0.29296875,23.22,0.6166666666666667,32.36979166666667
1.0,3/5*1/5,mul,3/25,256,34,0.1328125,23.26,0.31666666666666665,18.385416666666664
1.0,4/5*3/5,mul,12/25,256,31,0.12109375,23.27,0.4166666666666667,29.557291666666668
1.0,3/5*1/4,mul,3/20,256,82,0.3203125,23.12,0.5583333333333333,23.802083333333336
1.0,2/3*3/5,mul,2/5,256,69,0.26953125,23.02,0.5916666666666667,32.213541666666664
1.0,3/5:1/5,div,3,256,57,0.22265625,23.15,0.35833333333333334,13.567708333333334
1.0,4/5:3/5,div,4/3,256,32,0.125,23.04,0.2,7.500000000000001
1.0,3/5:1/4,div,12/5,256,43,0.16796875,23.07,0.25,8.203125
1.0,2/3:3/5,div,10/9,256,14,0.0546875,23.09,0.15,9.53125
