count,equation_type,rate,response_style,source
146,linear_one_step,1.0,answer_marked,human
278,linear_two_step,1.0,answer_marked,human
13,linear_variable_both_sides,1.0,answer_marked,human
103,linear_with_denominator,1.0,answer_marked,human
98,reciprocal_variable_denominator,1.0,answer_marked,human
23030,linear_one_step,1.0,unknown,synthetic_raw
82251,linear_two_step,1.0,unknown,synthetic_raw
4591,linear_variable_both_sides,1.0,unknown,synthetic_raw
33119,linear_with_denominator,1.0,unknown,synthetic_raw
27562,reciprocal_variable_denominator,1.0,unknown,synthetic_raw
5768,linear_one_step,0.25045592705167175,answer_marked,synthetic_translated
11600,linear_one_step,0.5036908380373426,uncertain,synthetic_translated
5662,linear_one_step,0.24585323491098568,wrong_guess_narrative,synthetic_translated
20490,linear_two_step,0.249115512273407,answer_marked,synthetic_translated
41380,linear_two_step,0.5030941873047137,uncertain,synthetic_translated
20381,linear_two_step,0.24779030042187936,wrong_guess_narrative,synthetic_translated
1212,linear_variable_both_sides,0.2639947723807449,answer_marked,synthetic_translated
2253,linear_variable_both_sides,0.49074275756915703,uncertain,synthetic_translated
1126,linear_variable_both_sides,0.24526247005009802,wrong_guess_narrative,synthetic_translated
8524,linear_with_denominator,0.2573749207403605,answer_marked,synthetic_translated
16344,linear_with_denominator,0.49349316102539326,uncertain,synthetic_translated
8251,linear_with_denominator,0.2491319182342462,wrong_guess_narrative,synthetic_translated
6742,reciprocal_variable_denominator,0.24461214715913213,answer_marked,synthetic_translated
13938,reciprocal_variable_denominator,0.505696248458022,uncertain,synthetic_translated
6882,reciprocal_variable_denominator,0.24969160438284596,wrong_guess_narrative,synthetic_translated
