T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.5,3/5+1/5,add,4/5,256,138,0.5390625,61.23,0.7916666666666666,25.260416666666664
1.5,4/5+3/5,add,7/5,256,124,0.484375,34.17,0.75,26.5625
1.5,3/5+1/4,add,17/20,256,135,0.52734375,55.85,0.5166666666666667,1.0677083333333282
1.5,2/3+3/5,add,19/15,256,130,0.5078125,56.28,0.5083333333333333,0.05208333333333037
1.5,3/5-1/5,sub,2/5,256,191,0.74609375,60.52,0.8333333333333334,8.723958333333337
1.5,4/5-3/5,sub,1/5,256,188,0.734375,36.93,0.8416666666666667,10.729166666666668
1.5,3/5-1/4,sub,7/20,256,138,0.5390625,59.3,0.55,1.0937500000000044
1.5,2/3-3/5,sub,1/15,256,148,0.578125,54.82,0.6166666666666667,3.8541666666666696
1.5,3/5*1/5,mul,3/25,256,116,0.453125,58.38,0.31666666666666665,13.645833333333336
1.5,4/5*3/5,mul,12/25,256,115,0.44921875,59.36,0.4166666666666667,3.2552083333333313
1.5,3/5*1/4,mul,3/20,256,126,0.4921875,51.22,0.5583333333333333,6.614583333333335
1.5,2/3*3/5,mul,2/5,256,144,0.5625,56.69,0.5916666666666667,2.9166666666666674
1.5,3/5:1/5,div,3,256,92,0.359375,58.96,0.35833333333333334,0.1041666666666663
1.5,4/5:3/5,div,4/3,256,41,0.16015625,58.35,0.2,3.984375000000001
1.5,3/5:1/4,div,12/5,256,67,0.26171875,56.19,0.25,1.171875
1.5,2/3:3/5,div,10/9,256,44,0.171875,56.15,0.15,2.1875000000000004
