T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
0.7,3/5+1/5,add,4/5,256,199,0.77734375,54.73,0.7916666666666666,1.432291666666663
0.7,4/5+3/5,add,7/5,256,194,0.7578125,30.7,0.75,0.78125
0.7,3/5+1/4,add,17/20,256,144,0.5625,54.45,0.5166666666666667,4.583333333333329
0.7,2/3+3/5,add,19/15,256,130,0.5078125,54.97,0.5083333333333333,0.05208333333333037
0.7,3/5-1/5,sub,2/5,256,256,1.0,20.5,0.8333333333333334,16.666666666666664
0.7,4/5-3/5,sub,1/5,256,256,1.0,20.37,0.8416666666666667,15.833333333333332
0.7,3/5-1/4,sub,7/20,256,148,0.578125,58.67,0.55,2.8124999999999956
0.7,2/3-3/5,sub,1/15,256,158,0.6171875,48.04,0.6166666666666667,0.05208333333333037
0.7,3/5*1/5,mul,3/25,256,172,0.671875,56.69,0.31666666666666665,35.520833333333336
0.7,4/5*3/5,mul,12/25,256,184,0.71875,52.26,0.4166666666666667,30.208333333333332
0.7,3/5*1/4,mul,3/20,256,229,0.89453125,44.76,0.5583333333333333,33.619791666666664
0.7,2/3*3/5,mul,2/5,256,244,0.953125,54.61,0.5916666666666667,36.145833333333336
0.7,3/5:1/5,div,3,256,103,0.40234375,58.74,0.35833333333333334,4.401041666666666
0.7,4/5:3/5,div,4/3,256,64,0.25,57.32,0.2,4.999999999999999
0.7,3/5:1/4,div,12/5,256,78,0.3046875,53.14,0.25,5.46875
0.7,2/3:3/5,div,10/9,256,51,0.19921875,53.88,0.15,4.921875000000001
