T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
0.5,3/5+1/5,add,4/5,256,256,1.0,11.55,0.7916666666666666,20.833333333333336
0.5,4/5+3/5,add,7/5,256,237,0.92578125,16.96,0.75,17.578125
0.5,3/5+1/4,add,17/20,256,226,0.8828125,42.82,0.5166666666666667,36.61458333333333
0.5,2/3+3/5,add,19/15,256,228,0.890625,44.03,0.5083333333333333,38.22916666666667
0.5,3/5-1/5,sub,2/5,256,256,1.0,17.19,0.8333333333333334,16.666666666666664
0.5,4/5-3/5,sub,1/5,256,256,1.0,17.17,0.8416666666666667,15.833333333333332
0.5,3/5-1/4,sub,7/20,256,239,0.93359375,50.54,0.55,38.35937499999999
0.5,2/3-3/5,sub,1/15,256,256,1.0,46.36,0.6166666666666667,38.33333333333333
0.5,3/5*1/5,mul,3/25,256,118,0.4609375,16.03,0.31666666666666665,14.427083333333336
0.5,4/5*3/5,mul,12/25,256,147,0.57421875,16.93,0.4166666666666667,15.755208333333332
0.5,3/5*1/4,mul,3/20,256,56,0.21875,42.72,0.5583333333333333,33.958333333333336
0.5,2/3*3/5,mul,2/5,256,66,0.2578125,42.65,0.5916666666666667,33.385416666666664
0.5,3/5:1/5,div,3,256,79,0.30859375,25.85,0.35833333333333334,4.973958333333334
0.5,4/5:3/5,div,4/3,256,69,0.26953125,28.55,0.2,6.953124999999999
0.5,3/5:1/4,div,12/5,256,189,0.73828125,51.99,0.25,48.828125
0.5,2/3:3/5,div,10/9,256,0,0.0,47.69,0.15,15.0
