T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
0.3,3/5+1/5,add,4/5,256,256,1.0,14.78,0.7916666666666666,20.833333333333336
0.3,4/5+3/5,add,7/5,256,256,1.0,11.51,0.75,25.0
0.3,3/5+1/4,add,17/20,256,241,0.94140625,42.33,0.5166666666666667,42.47395833333333
0.3,2/3+3/5,add,19/15,256,241,0.94140625,44.38,0.5083333333333333,43.30729166666667
0.3,3/5-1/5,sub,2/5,256,256,1.0,17.37,0.8333333333333334,16.666666666666664
0.3,4/5-3/5,sub,1/5,256,256,1.0,17.39,0.8416666666666667,15.833333333333332
0.3,3/5-1/4,sub,7/20,256,256,1.0,50.35,0.55,44.99999999999999
0.3,2/3-3/5,sub,1/15,256,256,1.0,42.51,0.6166666666666667,38.33333333333333
0.3,3/5*1/5,mul,3/25,256,118,0.4609375,16.02,0.31666666666666665,14.427083333333336
0.3,4/5*3/5,mul,12/25,256,164,0.640625,16.95,0.4166666666666667,22.395833333333332
0.3,3/5*1/4,mul,3/20,256,39,0.15234375,42.55,0.5583333333333333,40.598958333333336
0.3,2/3*3/5,mul,2/5,256,31,0.12109375,40.85,0.5916666666666667,47.057291666666664
0.3,3/5:1/5,div,3,256,63,0.24609375,24.98,0.35833333333333334,11.223958333333334
0.3,4/5:3/5,div,4/3,256,79,0.30859375,27.8,0.2,10.859374999999998
0.3,3/5:1/4,div,12/5,256,227,0.88671875,50.68,0.25,63.671875
0.3,2/3:3/5,div,10/9,256,0,0.0,47.59,0.15,15.0
