T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
2.0,3/5+1/5,add,4/5,256,124,0.484375,57.72,0.7916666666666666,30.729166666666664
2.0,4/5+3/5,add,7/5,256,115,0.44921875,32.88,0.75,30.078125
2.0,3/5+1/4,add,17/20,256,129,0.50390625,54.24,0.5166666666666667,1.2760416666666718
2.0,2/3+3/5,add,19/15,256,132,0.515625,55.68,0.5083333333333333,0.7291666666666696
2.0,3/5-1/5,sub,2/5,256,171,0.66796875,56.97,0.8333333333333334,16.536458333333336
2.0,4/5-3/5,sub,1/5,256,161,0.62890625,35.49,0.8416666666666667,21.276041666666668
2.0,3/5-1/4,sub,7/20,256,135,0.52734375,54.89,0.55,2.2656250000000044
2.0,2/3-3/5,sub,1/15,256,154,0.6015625,55.19,0.6166666666666667,1.5104166666666696
2.0,3/5*1/5,mul,3/25,256,98,0.3828125,58.81,0.31666666666666665,6.614583333333335
2.0,4/5*3/5,mul,12/25,256,108,0.421875,58.07,0.4166666666666667,0.5208333333333315
2.0,3/5*1/4,mul,3/20,256,103,0.40234375,49.05,0.5583333333333333,15.598958333333336
2.0,2/3*3/5,mul,2/5,256,112,0.4375,54.99,0.5916666666666667,15.416666666666668
2.0,3/5:1/5,div,3,256,93,0.36328125,56.68,0.35833333333333334,0.4947916666666663
2.0,4/5:3/5,div,4/3,256,39,0.15234375,56.04,0.2,4.765625000000001
2.0,3/5:1/4,div,12/5,256,66,0.2578125,54.28,0.25,0.78125
2.0,2/3:3/5,div,10/9,256,43,0.16796875,53.75,0.15,1.7968750000000004
