T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
0.3,3/5+1/5,add,4/5,256,239,0.93359375,47.98,0.7916666666666666,14.192708333333337
0.3,4/5+3/5,add,7/5,256,237,0.92578125,23.41,0.75,17.578125
0.3,3/5+1/4,add,17/20,256,167,0.65234375,38.19,0.5166666666666667,13.567708333333329
0.3,2/3+3/5,add,19/15,256,166,0.6484375,49.32,0.5083333333333333,14.01041666666667
0.3,3/5-1/5,sub,2/5,256,256,1.0,20.92,0.8333333333333334,16.666666666666664
0.3,4/5-3/5,sub,1/5,256,256,1.0,20.85,0.8416666666666667,15.833333333333332
0.3,3/5-1/4,sub,7/20,256,177,0.69140625,52.97,0.55,14.140624999999996
0.3,2/3-3/5,sub,1/15,256,182,0.7109375,45.07,0.6166666666666667,9.42708333333333
0.3,3/5*1/5,mul,3/25,256,240,0.9375,22.53,0.31666666666666665,62.083333333333336
0.3,4/5*3/5,mul,12/25,256,256,1.0,23.7,0.4166666666666667,58.33333333333333
0.3,3/5*1/4,mul,3/20,256,256,1.0,22.45,0.5583333333333333,44.166666666666664
0.3,2/3*3/5,mul,2/5,256,256,1.0,52.37,0.5916666666666667,40.833333333333336
0.3,3/5:1/5,div,3,256,128,0.5,60.06,0.35833333333333334,14.166666666666666
0.3,4/5:3/5,div,4/3,256,119,0.46484375,60.57,0.2,26.484375
0.3,3/5:1/4,div,12/5,256,90,0.3515625,54.79,0.25,10.15625
0.3,2/3:3/5,div,10/9,256,16,0.0625,49.39,0.15,8.75
