T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
0.7,3/5+1/5,add,4/5,256,234,0.9140625,23.72,0.7916666666666666,12.239583333333337
0.7,4/5+3/5,add,7/5,256,222,0.8671875,23.64,0.75,11.71875
0.7,3/5+1/4,add,17/20,256,214,0.8359375,43.53,0.5166666666666667,31.92708333333333
0.7,2/3+3/5,add,19/15,256,219,0.85546875,44.38,0.5083333333333333,34.71354166666667
0.7,3/5-1/5,sub,2/5,256,256,1.0,19.55,0.8333333333333334,16.666666666666664
0.7,4/5-3/5,sub,1/5,256,256,1.0,19.57,0.8416666666666667,15.833333333333332
0.7,3/5-1/4,sub,7/20,256,224,0.875,50.78,0.55,32.49999999999999
0.7,2/3-3/5,sub,1/15,256,256,1.0,46.88,0.6166666666666667,38.33333333333333
0.7,3/5*1/5,mul,3/25,256,110,0.4296875,32.44,0.31666666666666665,11.302083333333336
0.7,4/5*3/5,mul,12/25,256,132,0.515625,27.17,0.4166666666666667,9.895833333333332
0.7,3/5*1/4,mul,3/20,256,74,0.2890625,43.76,0.5583333333333333,26.927083333333336
0.7,2/3*3/5,mul,2/5,256,70,0.2734375,44.2,0.5916666666666667,31.822916666666668
0.7,3/5:1/5,div,3,256,81,0.31640625,36.96,0.35833333333333334,4.192708333333334
0.7,4/5:3/5,div,4/3,256,58,0.2265625,45.1,0.2,2.656249999999999
0.7,3/5:1/4,div,12/5,256,159,0.62109375,52.52,0.25,37.109375
0.7,2/3:3/5,div,10/9,256,0,0.0,48.13,0.15,15.0
