T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
0.5,3/5+1/5,add,4/5,256,256,1.0,11.66,0.7916666666666666,20.833333333333336
0.5,4/5+3/5,add,7/5,256,256,1.0,11.66,0.75,25.0
0.5,3/5+1/4,add,17/20,256,256,1.0,34.54,0.5166666666666667,48.33333333333333
0.5,2/3+3/5,add,19/15,256,256,1.0,35.75,0.5083333333333333,49.16666666666667
0.5,3/5-1/5,sub,2/5,256,256,1.0,17.09,0.8333333333333334,16.666666666666664
0.5,4/5-3/5,sub,1/5,256,256,1.0,17.12,0.8416666666666667,15.833333333333332
0.5,3/5-1/4,sub,7/20,256,256,1.0,40.34,0.55,44.99999999999999
0.5,2/3-3/5,sub,1/15,256,256,1.0,40.35,0.6166666666666667,38.33333333333333
0.5,3/5*1/5,mul,3/25,256,22,0.0859375,15.64,0.31666666666666665,23.072916666666664
0.5,4/5*3/5,mul,12/25,256,29,0.11328125,17.67,0.4166666666666667,30.338541666666668
0.5,3/5*1/4,mul,3/20,256,256,1.0,32.78,0.5583333333333333,44.166666666666664
0.5,2/3*3/5,mul,2/5,256,256,1.0,33.1,0.5916666666666667,40.833333333333336
0.5,3/5:1/5,div,3,256,15,0.05859375,24.38,0.35833333333333334,29.973958333333332
0.5,4/5:3/5,div,4/3,256,0,0.0,22.44,0.2,20.0
0.5,3/5:1/4,div,12/5,256,89,0.34765625,43.96,0.25,9.765625
0.5,2/3:3/5,div,10/9,256,0,0.0,46.82,0.15,15.0
