T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
2.0,3/5+1/5,add,4/5,256,192,0.75,43.07,0.7916666666666666,4.1666666666666625
2.0,4/5+3/5,add,7/5,256,192,0.75,32.02,0.75,0.0
2.0,3/5+1/4,add,17/20,256,175,0.68359375,44.89,0.5166666666666667,16.69270833333333
2.0,2/3+3/5,add,19/15,256,180,0.703125,50.12,0.5083333333333333,19.47916666666667
2.0,3/5-1/5,sub,2/5,256,224,0.875,38.63,0.8333333333333334,4.1666666666666625
2.0,4/5-3/5,sub,1/5,256,216,0.84375,33.97,0.8416666666666667,0.2083333333333326
2.0,3/5-1/4,sub,7/20,256,180,0.703125,53.22,0.55,15.312499999999996
2.0,2/3-3/5,sub,1/15,256,189,0.73828125,46.17,0.6166666666666667,12.16145833333333
2.0,3/5*1/5,mul,3/25,256,62,0.2421875,48.21,0.31666666666666665,7.447916666666665
2.0,4/5*3/5,mul,12/25,256,67,0.26171875,53.22,0.4166666666666667,15.494791666666668
2.0,3/5*1/4,mul,3/20,256,164,0.640625,48.48,0.5583333333333333,8.229166666666664
2.0,2/3*3/5,mul,2/5,256,176,0.6875,58.71,0.5916666666666667,9.583333333333332
2.0,3/5:1/5,div,3,256,63,0.24609375,51.65,0.35833333333333334,11.223958333333334
2.0,4/5:3/5,div,4/3,256,22,0.0859375,53.58,0.2,11.406250000000002
2.0,3/5:1/4,div,12/5,256,66,0.2578125,55.31,0.25,0.78125
2.0,2/3:3/5,div,10/9,256,3,0.01171875,51.23,0.15,13.828125
