T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.7,3/5+1/5,add,4/5,256,208,0.8125,38.58,0.7916666666666666,2.083333333333337
1.7,4/5+3/5,add,7/5,256,206,0.8046875,30.57,0.75,5.46875
1.7,3/5+1/4,add,17/20,256,182,0.7109375,45.8,0.5166666666666667,19.42708333333333
1.7,2/3+3/5,add,19/15,256,194,0.7578125,47.29,0.5083333333333333,24.94791666666667
1.7,3/5-1/5,sub,2/5,256,256,1.0,19.98,0.8333333333333334,16.666666666666664
1.7,4/5-3/5,sub,1/5,256,237,0.92578125,32.88,0.8416666666666667,8.411458333333332
1.7,3/5-1/4,sub,7/20,256,190,0.7421875,51.42,0.55,19.218749999999996
1.7,2/3-3/5,sub,1/15,256,194,0.7578125,48.14,0.6166666666666667,14.11458333333333
1.7,3/5*1/5,mul,3/25,256,62,0.2421875,44.8,0.31666666666666665,7.447916666666665
1.7,4/5*3/5,mul,12/25,256,69,0.26953125,48.46,0.4166666666666667,14.713541666666668
1.7,3/5*1/4,mul,3/20,256,180,0.703125,46.71,0.5583333333333333,14.479166666666664
1.7,2/3*3/5,mul,2/5,256,207,0.80859375,45.23,0.5916666666666667,21.692708333333332
1.7,3/5:1/5,div,3,256,60,0.234375,45.06,0.35833333333333334,12.395833333333334
1.7,4/5:3/5,div,4/3,256,21,0.08203125,54.95,0.2,11.796875000000002
1.7,3/5:1/4,div,12/5,256,68,0.265625,53.73,0.25,1.5625
1.7,2/3:3/5,div,10/9,256,0,0.0,50.56,0.15,15.0
