T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.3,3/5+1/5,add,4/5,256,239,0.93359375,27.88,0.7916666666666666,14.192708333333337
1.3,4/5+3/5,add,7/5,256,237,0.92578125,23.47,0.75,17.578125
1.3,3/5+1/4,add,17/20,256,201,0.78515625,43.61,0.5166666666666667,26.84895833333333
1.3,2/3+3/5,add,19/15,256,197,0.76953125,44.23,0.5083333333333333,26.11979166666667
1.3,3/5-1/5,sub,2/5,256,256,1.0,17.19,0.8333333333333334,16.666666666666664
1.3,4/5-3/5,sub,1/5,256,256,1.0,18.84,0.8416666666666667,15.833333333333332
1.3,3/5-1/4,sub,7/20,256,205,0.80078125,49.07,0.55,25.078124999999996
1.3,2/3-3/5,sub,1/15,256,203,0.79296875,44.07,0.6166666666666667,17.63020833333333
1.3,3/5*1/5,mul,3/25,256,57,0.22265625,37.36,0.31666666666666665,9.401041666666664
1.3,4/5*3/5,mul,12/25,256,59,0.23046875,32.64,0.4166666666666667,18.619791666666668
1.3,3/5*1/4,mul,3/20,256,195,0.76171875,45.88,0.5583333333333333,20.338541666666664
1.3,2/3*3/5,mul,2/5,256,220,0.859375,45.55,0.5916666666666667,26.770833333333332
1.3,3/5:1/5,div,3,256,53,0.20703125,39.7,0.35833333333333334,15.130208333333334
1.3,4/5:3/5,div,4/3,256,18,0.0703125,46.84,0.2,12.968750000000002
1.3,3/5:1/4,div,12/5,256,76,0.296875,54.16,0.25,4.6875
1.3,2/3:3/5,div,10/9,256,0,0.0,49.89,0.15,15.0
