T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.7,3/5+1/5,add,4/5,256,131,0.51171875,61.03,0.7916666666666666,27.994791666666664
1.7,4/5+3/5,add,7/5,256,119,0.46484375,34.39,0.75,28.515625
1.7,3/5+1/4,add,17/20,256,130,0.5078125,56.96,0.5166666666666667,0.8854166666666718
1.7,2/3+3/5,add,19/15,256,126,0.4921875,58.26,0.5083333333333333,1.6145833333333304
1.7,3/5-1/5,sub,2/5,256,185,0.72265625,61.13,0.8333333333333334,11.067708333333337
1.7,4/5-3/5,sub,1/5,256,179,0.69921875,37.53,0.8416666666666667,14.244791666666668
1.7,3/5-1/4,sub,7/20,256,136,0.53125,59.21,0.55,1.8750000000000044
1.7,2/3-3/5,sub,1/15,256,154,0.6015625,54.91,0.6166666666666667,1.5104166666666696
1.7,3/5*1/5,mul,3/25,256,109,0.42578125,57.13,0.31666666666666665,10.911458333333336
1.7,4/5*3/5,mul,12/25,256,111,0.43359375,58.51,0.4166666666666667,1.6927083333333315
1.7,3/5*1/4,mul,3/20,256,118,0.4609375,50.86,0.5583333333333333,9.739583333333336
1.7,2/3*3/5,mul,2/5,256,131,0.51171875,56.96,0.5916666666666667,7.994791666666668
1.7,3/5:1/5,div,3,256,93,0.36328125,58.05,0.35833333333333334,0.4947916666666663
1.7,4/5:3/5,div,4/3,256,38,0.1484375,56.49,0.2,5.156250000000001
1.7,3/5:1/4,div,12/5,256,68,0.265625,54.94,0.25,1.5625
1.7,2/3:3/5,div,10/9,256,42,0.1640625,53.89,0.15,1.4062500000000004
