T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
1.3,3/5+1/5,add,4/5,256,187,0.73046875,53.69,0.7916666666666666,6.1197916666666625
1.3,4/5+3/5,add,7/5,256,171,0.66796875,32.4,0.75,8.203125
1.3,3/5+1/4,add,17/20,256,190,0.7421875,49.56,0.5166666666666667,22.55208333333333
1.3,2/3+3/5,add,19/15,256,196,0.765625,51.17,0.5083333333333333,25.72916666666667
1.3,3/5-1/5,sub,2/5,256,226,0.8828125,49.39,0.8333333333333334,4.9479166666666625
1.3,4/5-3/5,sub,1/5,256,220,0.859375,34.81,0.8416666666666667,1.7708333333333326
1.3,3/5-1/4,sub,7/20,256,197,0.76953125,55.64,0.55,21.953124999999996
1.3,2/3-3/5,sub,1/15,256,245,0.95703125,50.93,0.6166666666666667,34.03645833333333
1.3,3/5*1/5,mul,3/25,256,95,0.37109375,50.52,0.31666666666666665,5.442708333333335
1.3,4/5*3/5,mul,12/25,256,104,0.40625,53.93,0.4166666666666667,1.0416666666666685
1.3,3/5*1/4,mul,3/20,256,79,0.30859375,50.19,0.5583333333333333,24.973958333333336
1.3,2/3*3/5,mul,2/5,256,87,0.33984375,53.85,0.5916666666666667,25.182291666666668
1.3,3/5:1/5,div,3,256,83,0.32421875,53.19,0.35833333333333334,3.411458333333334
1.3,4/5:3/5,div,4/3,256,40,0.15625,55.96,0.2,4.375000000000001
1.3,3/5:1/4,div,12/5,256,123,0.48046875,56.89,0.25,23.046875
1.3,2/3:3/5,div,10/9,256,6,0.0234375,51.88,0.15,12.65625
