T,prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
0.3,3/5+1/5,add,4/5,256,256,1.0,14.87,0.7916666666666666,20.833333333333336
0.3,4/5+3/5,add,7/5,256,256,1.0,11.64,0.75,25.0
0.3,3/5+1/4,add,17/20,256,256,1.0,34.43,0.5166666666666667,48.33333333333333
0.3,2/3+3/5,add,19/15,256,256,1.0,35.72,0.5083333333333333,49.16666666666667
0.3,3/5-1/5,sub,2/5,256,256,1.0,17.15,0.8333333333333334,16.666666666666664
0.3,4/5-3/5,sub,1/5,256,256,1.0,17.12,0.8416666666666667,15.833333333333332
0.3,3/5-1/4,sub,7/20,256,256,1.0,40.27,0.55,44.99999999999999
0.3,2/3-3/5,sub,1/15,256,256,1.0,40.29,0.6166666666666667,38.33333333333333
0.3,3/5*1/5,mul,3/25,256,0,0.0,11.67,0.31666666666666665,31.666666666666664
0.3,4/5*3/5,mul,12/25,256,0,0.0,12.55,0.4166666666666667,41.66666666666667
0.3,3/5*1/4,mul,3/20,256,256,1.0,33.06,0.5583333333333333,44.166666666666664
0.3,2/3*3/5,mul,2/5,256,256,1.0,33.01,0.5916666666666667,40.833333333333336
0.3,3/5:1/5,div,3,256,0,0.0,19.69,0.35833333333333334,35.833333333333336
0.3,4/5:3/5,div,4/3,256,0,0.0,21.89,0.2,20.0
0.3,3/5:1/4,div,12/5,256,106,0.4140625,43.47,0.25,16.40625
0.3,2/3:3/5,div,10/9,256,0,0.0,46.83,0.15,15.0
