prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,113,0.44140625,33.57,0.7916666666666666,35.026041666666664
4/5+3/5,add,7/5,256,108,0.421875,37.39,0.75,32.8125
3/5+1/4,add,17/20,256,99,0.38671875,49.97,0.5166666666666667,12.994791666666671
2/3+3/5,add,19/15,256,65,0.25390625,56.94,0.5083333333333333,25.44270833333333
3/5-1/5,sub,2/5,256,153,0.59765625,33.75,0.8333333333333334,23.567708333333336
4/5-3/5,sub,1/5,256,137,0.53515625,32.45,0.8416666666666667,30.651041666666668
3/5-1/4,sub,7/20,256,85,0.33203125,53.2,0.55,21.796875000000004
2/3-3/5,sub,1/15,256,108,0.421875,55.38,0.6166666666666667,19.47916666666667
3/5*1/5,mul,3/25,256,153,0.59765625,32.49,0.31666666666666665,28.098958333333336
4/5*3/5,mul,12/25,256,235,0.91796875,29.8,0.4166666666666667,50.13020833333333
3/5*1/4,mul,3/20,256,231,0.90234375,31.36,0.5583333333333333,34.401041666666664
2/3*3/5,mul,2/5,256,211,0.82421875,34.03,0.5916666666666667,23.255208333333332
3/5:1/5,div,3,256,130,0.5078125,38.28,0.35833333333333334,14.947916666666666
4/5:3/5,div,4/3,256,21,0.08203125,41.27,0.2,11.796875000000002
3/5:1/4,div,12/5,256,34,0.1328125,46.4,0.25,11.71875
2/3:3/5,div,10/9,256,46,0.1796875,55.09,0.15,2.9687500000000004
