prob,op,gt,n_rollouts,n_correct,acc_model,elapsed_sec,acc_human,abs_err_pp
3/5+1/5,add,4/5,256,166,0.6484375,43.38,0.7916666666666666,14.322916666666663
4/5+3/5,add,7/5,256,146,0.5703125,45.02,0.75,17.96875
3/5+1/4,add,17/20,256,89,0.34765625,63.93,0.5166666666666667,16.90104166666667
2/3+3/5,add,19/15,256,44,0.171875,61.03,0.5083333333333333,33.64583333333333
3/5-1/5,sub,2/5,256,184,0.71875,44.96,0.8333333333333334,11.458333333333337
4/5-3/5,sub,1/5,256,193,0.75390625,37.46,0.8416666666666667,8.776041666666668
3/5-1/4,sub,7/20,256,80,0.3125,55.07,0.55,23.750000000000004
2/3-3/5,sub,1/15,256,70,0.2734375,57.4,0.6166666666666667,34.32291666666667
3/5*1/5,mul,3/25,256,116,0.453125,44.3,0.31666666666666665,13.645833333333336
4/5*3/5,mul,12/25,256,181,0.70703125,43.8,0.4166666666666667,29.036458333333332
3/5*1/4,mul,3/20,256,188,0.734375,41.78,0.5583333333333333,17.604166666666664
2/3*3/5,mul,2/5,256,206,0.8046875,47.67,0.5916666666666667,21.302083333333332
3/5:1/5,div,3,256,81,0.31640625,53.0,0.35833333333333334,4.192708333333334
4/5:3/5,div,4/3,256,17,0.06640625,51.76,0.2,13.359375000000002
3/5:1/4,div,12/5,256,28,0.109375,52.9,0.25,14.0625
2/3:3/5,div,10/9,256,24,0.09375,58.23,0.15,5.624999999999999
